品番,サイズコード,"サイズ（ / 区切り）",商品名
cr25ss11113,02,99.5cm/約68cm～76cm/109cm/72cm/58cm/31cm/69cm/3.5cm,ウォッシャブルサテンスラックス
cr25ss11113,03,102cm/約72cm～80cm/113cm/74cm/60cm/31.5cm/71cm/3.5cm,ウォッシャブルサテンスラックス
cr25ss06123,05,109cm/106cm/42.5cm/27cm/35cm/26cm/7cm/42cm/106cm,シアーニットストレートワンピース
cr25ss06123,06,121cm/106cm/42.5cm/28cm/35cm/26cm/7cm/47cm/106cm,シアーニットストレートワンピース
cr25ss19152,01,91cm/64cm～80cm/98cm/102cm,ストレッチベロアストレートスカート
cr25ss19152,02,94cm/67cm～84cm/101cm/105cm,ストレッチベロアストレートスカート
cr25ss19152,03,97cm/70cm～87.5cm/104cm/108cm,ストレッチベロアストレートスカート
cr25ss07116,01,"/58.5cm/約34.5cm/99cm/21.5cm/21.5cm : 8cm/21cm//61.5cm/約30cm/75cm/20.5cm/15.5cm : 10cm/21.5cm",マルチウェイレイヤードタンクトップ
cr25ss07116,02,"/60cm/約34.5cm/102cm/21.5cm/21.5cm : 8cm/21cm//64cm/約30cm/78cm/20.5cm/16cm : 10cm/21.5cm",マルチウェイレイヤードタンクトップ
cr25ss07116,03,"/61.5cm/約34.5cm/105cm/21.5cm/21.5cm : 8cm/21cm//66.5cm/約30cm/81cm/20.5cm/16.5cm : 10cm/21.5cm",マルチウェイレイヤードタンクトップ
cr25ss07112,01,59cm/41cm/98cm/98cm/22cm/42cm/2cm,フォトグラフィープリントTシャツ
cr25ss07112,02,61cm/42cm/101cm/101cm/22.5cm/42cm/2cm,フォトグラフィープリントTシャツ
cr25ss07112,03,63cm/43cm/104cm/104cm/23cm/43cm/2cm,フォトグラフィープリントTシャツ
cr24aw06125,01,72.5cm/123.5cm/116.5cm/41.5cm/37cm,セミドルマンドロストデザインシャツ
cr24aw06125,02,74.5cm/126.5cm/119.5cm/43cm/38cm,セミドルマンドロストデザインシャツ
cr24aw06125,03,76.5cm/129.5cm/122.5cm/44.5cm/39cm,セミドルマンドロストデザインシャツ
cr25ss07087,01,66cm/41cm/100cm/24.5cm,フロントフライバックオープンジレ
cr25ss07087,02,68cm/42cm/103cm/25.5cm,フロントフライバックオープンジレ
cr25ss07087,03,70cm/43cm/106cm/26.5cm,フロントフライバックオープンジレ
cr25ss03115,01,62.5cm/39cm/94cm/28.5cm/38cm/約220g,ショールハーフスリーブジャケット
cr25ss03115,02,65.5cm/40cm/97cm/30.5cm/39cm/約240g,ショールハーフスリーブジャケット
cr25ss03115,03,68.5cm/41cm/100cm/32.5cm/39.5cm/約240g,ショールハーフスリーブジャケット
cr24aw15132,99,54cm～66cm/77cm～109cm/32cm/34cm/42cm/18cm/横34cm×高さ30cm/横11cm×高さ14cm/横17cm×高さ14cm/約550g,ナイロンレザーショルダーバッグ
cr25ss07111,01,57.5cm/92cm/84cm/96cm/36cm/58cm/32cm/20cm/24cm/9.5cm/7cm,2wayハニカムサーマルカットソー
cr25ss07111,02,60.5cm/95cm/87cm/99cm/37cm/60cm/33cm/21cm/24.5cm/10cm/7.5cm,2wayハニカムサーマルカットソー
cr25ss07111,03,63.5cm/98cm/90cm/102cm/38cm/62cm/34cm/22cm/25cm/10cm/7.5cm,2wayハニカムサーマルカットソー
cr25ss19107,01,90cm/64cm～71cm/98cm/約104cm,ラップレイヤードIラインスカート
cr25ss19107,02,94cm/68cm～75cm/102cm/約108cm,ラップレイヤードIラインスカート
cr25ss19107,03,97cm/72cm～79cm/106cm/約112cm,ラップレイヤードIラインスカート
cr25ss11104,01,96cm/70cm/98cm/69cm/61cm/28cm/67.5cm,ヴィンテージライクワイドパンツ
cr25ss11104,02,99cm/73.5cm/101.5cm/71cm/62cm/29cm/69.5cm,ヴィンテージライクワイドパンツ
cr25ss11104,03,102cm/77cm/105cm/72.5cm/63cm/30cm/71.5cm,ヴィンテージライクワイドパンツ
cr25ss06081,01,75.5cm/68cm/149cm/42.5cm/78cm/51cm/22cm,フルダルスパンフードシャツ
cr25ss06081,02,77.5cm/69cm/152cm/44.5cm/80.5cm/52cm/22cm,フルダルスパンフードシャツ
cr25ss06081,03,79.5cm/70cm/155cm/46.5cm/83cm/53cm/23cm,フルダルスパンフードシャツ
cr25ss06088,01,76.5cm/56cm/126cm/50cm/55cm/22.5cm,オーバーサイズコットンシャツ
cr25ss06088,02,79cm/57cm/129cm/52cm/56cm/23cm,オーバーサイズコットンシャツ
cr25ss06088,03,81.5cm/58cm/132cm/54cm/57cm/23.5cm,オーバーサイズコットンシャツ
cr25ss08109,01,61cm/36.5cm/111cm/63.5cm/49cm/約67cm,セットインルーズスウェットロンT
cr25ss08109,02,63cm/37.5cm/114cm/66cm/51cm/約69cm,セットインルーズスウェットロンT
cr25ss08109,03,65cm/38.5cm/117cm/68.5cm/53cm/約71cm,セットインルーズスウェットロンT
cr25ss03108,01,68cm/39cm/103cm/58cm/38cm/30cm/350g,レイヤードシアージャケット
cr25ss03108,02,71cm/40cm/106cm/60cm/39cm/31cm/360g,レイヤードシアージャケット
cr25ss03108,03,74cm/41cm/109cm/62cm/40cm/32cm/390g,レイヤードシアージャケット
cr25ss19089,01,90cm/65～77.6cm/99cm/107cm/5.5cm,バックタックナロースカート
cr25ss19089,02,93cm/69～81.6cm/103cm/111cm/5.5cm,バックタックナロースカート
cr25ss19089,03,96cm/73～85.6cm/107cm/115cm/5.5cm,バックタックナロースカート
cr25ss10080,00,68cm/96cm/28cm/66cm/70cm/46cm/4.5cm,ソフトカーヴィーデニムパンツ
cr25ss10080,01,71cm/100cm/30cm/67cm/71cm/47cm/4.5cm,ソフトカーヴィーデニムパンツ
cr25ss10080,02,74cm/104cm/32cm/68cm/72cm/47cm/4.5cm,ソフトカーヴィーデニムパンツ
cr25ss10080,03,77cm/108cm/34cm/70cm/74cm/48cm/4.5cm,ソフトカーヴィーデニムパンツ
cr25ss14131,99,約98㎝/約47.5㎝/約54.5㎝/約46g,2wayウォーターパールネックレス
cr25ss19106,01,63cm～96cm/5cm/85cm,ナイロンドレープマキシスカート
cr25ss19106,02,66cm～96cm/5cm/88cm,ナイロンドレープマキシスカート
cr25ss19106,03,69cm～99cm/5cm/91cm,ナイロンドレープマキシスカート
cr25ss08101,01,22cm/6.5cm/36cm/84cm/63cm/38cm/18cm,シルクブレンドボートネックロンT
cr25ss08101,02,22.5cm/7cm/37cm/88cm/66cm/39cm/18cm,シルクブレンドボートネックロンT
cr25ss08101,03,23cm/7cm/38cm/92cm/69cm/40cm/19cm,シルクブレンドボートネックロンT
cr25ss06083,01,65.5cm/61cm/116cm/47cm/5.5cm/141cm,2wayハイネックボウタイシャツ
cr25ss06083,02,67.5cm/62cm/119cm/49cm/5.5cm/141cm,2wayハイネックボウタイシャツ
cr25ss06083,03,69.5cm/63cm/122cm/51cm/5.5cm/141cm,2wayハイネックボウタイシャツ
cr25ss11102,01,68.5cm～76.5cm/70cm～78cm/100cm/28cm/67cm/67cm/51cm,2wayレイヤードストレートパンツ
cr25ss11102,02,72.5cm～80.5cm/74cm～82cm/104cm/29cm/69cm/69cm/53cm,2wayレイヤードストレートパンツ
cr25ss11102,03,76.5cm～84.5cm/78cm～86cm/108cm/30cm/71cm/71cm/55cm,2wayレイヤードストレートパンツ
cr25ss01082,01,76.5cm/124cm/59cm/51cm/約670g,ピーチスキンモッズコート
cr25ss01082,02,79.5cm/128cm/60cm/52.5cm/約710g,ピーチスキンモッズコート
cr25ss01082,03,82.5cm/132cm/61cm/54cm/約760g,ピーチスキンモッズコート
cr25ss01085,01,114cm/117cm/79cm/1040g,ドレープステンカラーコート
cr25ss01085,02,119cm/120cm/82cm/1100g,ドレープステンカラーコート
cr25ss01085,03,125cm/123cm/85cm/1160g,ドレープステンカラーコート
cr24aw15075,99,14cm/27cm/7.5cm/75cm～145cm/7mm/14.5cm/8cm/約340g,マルチウェイソフトレザーバッグ
cr24aw07409,99,175cm/50cm/10cm,モイストタッチボリュームストール
cr24aw09071,02,58cm/17cm/22cm/59cm/115cm/58cm/76cm/16cm/115cm,メランジハイネックルーズニット
cr24aw09071,03,63cm/17cm/22cm/63cm/123cm/62cm/81cm/17cm/123cm,メランジハイネックルーズニット
cr24aw11070,01,64.5cm～71.5cm/4.5cm/109cm/32cm/64cm/96cm/72cm/52cm,ウールミックスツィードスラックス
cr24aw11070,02,68.5cm～75.5cm/4.5cm/113cm/33cm/67cm/100cm/74cm/54cm,ウールミックスツィードスラックス
cr24aw11070,03,72.5cm～79.5cm/4.5cm/117cm/34cm/70cm/104cm/76cm/56cm,ウールミックスツィードスラックス
cr24aw09050,02,55cm/9.5cm/52cm/108cm/54cm/73cm/19cm/102cm,ミックスヤーンクルーネックニット
cr24aw09050,03,58cm/10cm/57cm/114cm/57cm/79cm/20cm/106cm,ミックスヤーンクルーネックニット
cr24aw05040,01,72cm/123cm/62cm/81cm/50cm/22cm/104cm～161cm/約610g,ダブルブレストダウンジャケット
cr24aw05040,02,74cm/126cm/63cm/83cm/51cm/22.5cm/107～164cm/約670g,ダブルブレストダウンジャケット
cr24aw05040,03,76cm/129cm/65cm/84cm/52cm/23cm/110cm～167cm/約670g,ダブルブレストダウンジャケット
cr24aw04101,01,70cm/36cm/121cm/61cm/80cm/48cm/130cm/960g,マイルドシャギーウールPコート
cr24aw04101,02,72cm/37cm/124cm/62cm/82cm/49cm/133cm/960g,マイルドシャギーウールPコート
cr24aw04101,03,74cm/38cm/127cm/64cm/85cm/50cm/136cm/990g,マイルドシャギーウールPコート
cr24aw07210,01,63cm～70cm/102cm/31cm/62cm/95cm/68cm/58cm/5cm,ソフトツイストデニムワイドパンツ
cr24aw07210,02,67cm～74cm/106cm/32cm/64cm/98cm/70cm/60cm/5cm,ソフトツイストデニムワイドパンツ
cr24aw07210,03,71cm～78cm/110cm/33cm/66cm/101cm/72cm/62cm/5cm,ソフトツイストデニムワイドパンツ
cr24aw06708,01,61cm/9cm/37cm/110cm/55cm/78cm/49cm/20cm/102cm,カーヴィシームリブプルオーバー
cr24aw06708,02,63cm/10cm/38cm/113cm/56.5cm/80cm/50cm/20cm/105cm,カーヴィシームリブプルオーバー
cr24aw06708,03,65cm/10cm/39cm/116cm/58cm/82cm/51cm/20cm/108cm,カーヴィシームリブプルオーバー
cr24aw19073,01,64cm～73cm/5.5cm/98cm/120cm/87cm,ウールライクラップロングスカート
cr24aw19073,02,68cm～77cm/5.5cm/102cm/124cm/90cm,ウールライクラップロングスカート
cr24aw19073,03,72cm～81cm/5.5cm/106cm/128cm/93cm,ウールライクラップロングスカート
